text,label,episode,season,ids,is_train
there's nothing to tell he's just some guy i work with,3,0101,01,0,True
c'mon you're going out with the guy there's gotta be something wrong with him,5,0101,01,1,False
all right joey be nice so does he have a hump a hump and a hairpiece,4,0101,01,2,True
wait does he eat chalk,6,0101,01,3,False
just because i don't want her to go through what i went through with carl oh,6,0101,01,4,True
okay everybody relax this is not even a date it's just two people going out to dinner and not having sex,3,0101,01,5,True
sounds like a date to me,4,0101,01,6,True
alright so i'm back in high school i'm standing in the middle of the cafeteria and i realize i am totally naked,4,0101,01,7,True
oh yeah had that dream,0,0101,01,8,True
then i look down and i realize there's a phone there,4,0101,01,9,False
instead of,5,0101,01,10,True
never had that dream,5,0101,01,11,False
no,6,0101,01,12,True
all of a sudden the phone starts to ring now i don't know what to do everybody starts looking at me,4,0101,01,13,True
and they weren't looking at you before,3,0101,01,14,False
finally i figure i'd better answer it a nd it turns out it's my mother which is very very weird because she never calls me,4,0101,01,15,True
this guy says hello i wanna kill myself,5,0101,01,16,True
i just feel like someone reached down my throat grabbed my small intestine pulled it out of my mouth and tied it around my neck,2,0101,01,17,True
carol moved her stuff out today,3,0101,01,18,True
let me get you some coffee,3,0101,01,19,True
no no don't stop cleansing my aura no just leave my aura alone okay,2,0101,01,20,True
fine be murky,6,0101,01,21,False
i'll be fine alright really everyone i hope she'll be very happy,2,0101,01,22,True
no you don't,3,0101,01,23,False
no i don't to hell with her she left me,2,0101,01,24,True
and you never knew she was a lesbian,5,0101,01,25,True
no okay why does everyone keep fixating on that she didn't know how should i know,2,0101,01,26,True
sometimes i wish i was a lesbian did i say that out loud,4,0101,01,27,True
i told mom and dad last night they seemed to take it pretty well,2,0101,01,28,False
00 a m i'll never have grandchildren i'll never have grandchildren was what a wrong number,0,0101,01,29,True
alright ross look you're feeling a lot of pain right now you're angry you're hurting can i tell you what the answer is,5,0101,01,30,False
strip joint c'mon you're single have some hormones,5,0101,01,31,False
i don't want to be single okay i just i just i just wanna be married again,2,0101,01,32,False
and i just want a million dollars,4,0101,01,33,False
rachel,3,0101,01,34,True
oh god monica hi thank god i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are you are,1,0101,01,35,True
can i get you some coffee,0,0101,01,36,True
de caff okay everybody this is rachel another lincoln high survivor this is everybody this is chandler and phoebe and joey and you remember my brother ross,3,0101,01,37,True
so you wanna tell us now or are we waiting for four wet bridesmaids,3,0101,01,38,True
who wasn't invited to the wedding,3,0101,01,39,False
ooh i was kinda hoping that wouldn't be an issue,1,0101,01,40,True
now i'm guessing that he bought her the big pipe organ and she's really not happy about it,3,0101,01,41,True
tuna or egg salad decide,4,0101,01,42,True
i'll have whatever christine is having,2,0101,01,43,True
daddy i just i can't marry him i'm sorry i just don't love him well it matters to me,1,0101,01,44,True
if i let go of my hair my head will fall off,6,0101,01,45,True
ooh she should not be wearing those pants,4,0101,01,46,True
i say push her down the stairs,5,0101,01,47,True
push her down the stairs push her down the stairs push her down the stairs,0,0101,01,48,True
you can see where he'd have trouble,2,0101,01,49,True
look daddy it's my life well maybe i'll just stay here with monica,1,0101,01,50,False
well i guess we've established who's staying here with monica,3,0101,01,51,True
well maybe that's my decision well maybe i don't need your money wait wait i said maybe,1,0101,01,52,True
just breathe breathe that's it just try to think of nice calm things,3,0101,01,53,True
raindrops on roses and rabbits and kittens bluebells and sleighbells and something with mittens la la la la something and noodles with string these are a few,6,0101,01,54,True
i'm all better now,1,0101,01,55,False
i helped,6,0101,01,56,True
okay look this is probably for the best y'know independence taking control of your life the whole 'hat' thing,3,0101,01,57,True
and hey you need anything you can always come to joey me and chandler live across the hall and he's away a lot,5,0101,01,58,False
joey stop hitting on her it's her wedding day,3,0101,01,59,True
what like there's a rule or something,5,0101,01,60,False
please don't do that again it's a horrible sound,4,0101,01,61,True
it's uh it's paul,0,0101,01,62,True
who's paul,5,0101,01,63,True
paul the wine guy paul,2,0101,01,64,False
maybe joey,3,0101,01,65,False
he finally asked you out,2,0101,01,66,True
ooh this is a dear diary moment,4,0101,01,67,True
rach wait i can cancel,3,0101,01,68,True
please no go that'd be fine,1,0101,01,69,True
are are you okay i mean do you want me to stay,3,0101,01,70,True
no go on it's paul the wine guy,2,0101,01,71,False
what does that mean does he sell it drink it or just complain a lot,6,0101,01,72,True
hi come in paul this is everybody everybody this is paul,3,0101,01,73,True
hey paul hi the wine guy hey,0,0101,01,74,True
i'm sorry i didn't catch your name paul was it,4,0101,01,75,True
okay umm umm i'll just i'll be right back i just gotta go ah go ah,3,0101,01,76,True
a wandering,2,0101,01,77,True
change okay sit down two seconds,3,0101,01,78,True
ooh i just pulled out four eyelashes that can't be good,6,0101,01,79,True
here's a little tip she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red,5,0101,01,80,True
shut up joey,3,0101,01,81,True
