text,label,episode,season,ids
joey,1,0901,09,40421
so uh i guess we should make it official huh,1,0901,09,40422
uh look rach hey ross is here hey look it's my good friend ross hey ross,5,0901,09,40423
hey and look he brought flowers thanks ross but i'm really more of a candy guy,5,0901,09,40424
you're weird today listen i uh wanted to talk to you about something,2,0901,09,40425
uh yeah actually i kinda need to talk to you too,1,0901,09,40426
uh joey can you give us just a minute,2,0901,09,40427
no,5,0901,09,40428
what,2,0901,09,40429
oh i'm sorry i meant no,5,0901,09,40430
hi hey look who's here,3,0901,09,40431
where's my granddaughter i've been practicing my magic tricks,0,0901,09,40432
he pulled a quarter out of my ear,4,0901,09,40433
hey where's uh where's mom,2,0901,09,40434
she went to pick up aunt liddy,0,0901,09,40435
oh aunt liddy's coming that means we get five dollars each,3,0901,09,40436
so when do i get to meet emma and show her this,0,0901,09,40437
uh dad emma's in the nursery i'll take you now if you want but i really want to talk to you,2,0901,09,40438
i know i still need to talk to you,1,0901,09,40439
oh hey but before you guys do that i need to talk to you and ross i need to talk to you,5,0901,09,40440
oh and i need to talk to you,6,0901,09,40441
about what,3,0901,09,40442
to see if know what these guys are talking about opening credits,6,0901,09,40443
isn't she beautiful,3,0901,09,40444
look at her my first grandchild,0,0901,09,40445
what about ben,2,0901,09,40446
well of course ben i meant my first granddaughter wow,0,0901,09,40447
have umm have you thought anymore about you and rachel,6,0901,09,40448
oh well yeah actually i was going to talk to her when you guys all came in the room,2,0901,09,40449
yay it's so exciting wow you could've done that with us there,6,0901,09,40450
oh sure okay you can touch yourself in front of us but you can't talk to rachel,6,0901,09,40451
what when have i ever touched myself in front of you guys,2,0901,09,40452
oh please just before when you were asleep in the lounge that armenian family was watching you instead of the tv oh that reminds me that mr hasmeje still has my gameboy,6,0901,09,40453
hey chandler can i talk to you for a second,5,0901,09,40454
dude i just did something terrible,5,0901,09,40455
that was you i thought it was jack,4,0901,09,40456
no no that was jack rachel thinks i asked her to marry me,5,0901,09,40457
what why does she think that,4,0901,09,40458
because it kinda looked like i did,5,0901,09,40459
again what,4,0901,09,40460
okay well i was down on one knee with the ring in my hand,5,0901,09,40461
as we all are at some point during the day,4,0901,09,40462
it wasn't my ring it fell out of ross's jacket and when i knelt down to pick it up rachel thought i was proposing,5,0901,09,40463
ross had a ring and he was gonna propose,4,0901,09,40464
i guess,5,0901,09,40465
and you did it first this is gonna kill him you know how much he loves to propose,4,0901,09,40466
i know i know it's awful,5,0901,09,40467
well what did she say,4,0901,09,40468
oh god what the hell am i going to tell him,5,0901,09,40469
well maybe you don't have to tell him anything,4,0901,09,40470
oh i like that yeah,5,0901,09,40471
if you clear things up with rachel then ross never needs to find out but you have to do it now before he hears about it and kicks your ass,4,0901,09,40472
now let's not get carried away,5,0901,09,40473
i want a baby,3,0901,09,40474
honey we've been over this i need to be facing the other way,4,0901,09,40475
come on come on if we have sex again it'll double our chances of getting pregnant do you think that closet's still available,3,0901,09,40476
i'm so tired yeah okay but no foreplay,4,0901,09,40477
deal,3,0901,09,40478
dad seriously y'know you really should see someone about that,2,0901,09,40479
