text2,label,episode,season,places,ids,text1,label_prev
joey,1,0901,09,2,40421,,
uh look rach hey ross is here hey look it's my good friend ross hey ross,5,0901,09,2,40423,so uh i guess we should make it official huh,1.0
you're weird today listen i uh wanted to talk to you about something,2,0901,09,2,40425,hey and look he brought flowers thanks ross but i'm really more of a candy guy,5.0
uh yeah actually i kinda need to talk to you too,1,0901,09,2,40426,you're weird today listen i uh wanted to talk to you about something,2.0
uh joey can you give us just a minute,2,0901,09,2,40427,uh yeah actually i kinda need to talk to you too,1.0
no,5,0901,09,2,40428,uh joey can you give us just a minute,2.0
what,2,0901,09,2,40429,no,5.0
oh i'm sorry i meant no,5,0901,09,2,40430,what,2.0
hi hey look who's here,3,0901,09,2,40431,oh i'm sorry i meant no,5.0
where's my granddaughter i've been practicing my magic tricks,0,0901,09,2,40432,hi hey look who's here,3.0
he pulled a quarter out of my ear,4,0901,09,2,40433,where's my granddaughter i've been practicing my magic tricks,0.0
hey where's uh where's mom,2,0901,09,2,40434,he pulled a quarter out of my ear,4.0
she went to pick up aunt liddy,0,0901,09,2,40435,hey where's uh where's mom,2.0
oh aunt liddy's coming that means we get five dollars each,3,0901,09,2,40436,she went to pick up aunt liddy,0.0
so when do i get to meet emma and show her this,0,0901,09,2,40437,oh aunt liddy's coming that means we get five dollars each,3.0
uh dad emma's in the nursery i'll take you now if you want but i really want to talk to you,2,0901,09,2,40438,so when do i get to meet emma and show her this,0.0
i know i still need to talk to you,1,0901,09,2,40439,uh dad emma's in the nursery i'll take you now if you want but i really want to talk to you,2.0
oh hey but before you guys do that i need to talk to you and ross i need to talk to you,5,0901,09,2,40440,i know i still need to talk to you,1.0
oh and i need to talk to you,6,0901,09,2,40441,oh hey but before you guys do that i need to talk to you and ross i need to talk to you,5.0
about what,3,0901,09,2,40442,oh and i need to talk to you,6.0
to see if know what these guys are talking about opening credits,6,0901,09,2,40443,about what,3.0
isn't she beautiful,3,0901,09,0,40444,to see if know what these guys are talking about opening credits,6.0
look at her my first grandchild,0,0901,09,0,40445,isn't she beautiful,3.0
what about ben,2,0901,09,0,40446,look at her my first grandchild,0.0
